apex_Longitude,apex_Latitude
85002.0,31990.0
85002.0,32904.0
85459.0,32447.0
85916.0,32904.0
86373.0,31990.0
87287.0,32904.0
87744.0,33361.0
88201.0,33361.0
88201.0,34275.0
88658.0,33818.0
88658.0,34732.0
89115.0,34732.0
89115.0,34275.0
89572.0,34275.0
90486.0,34732.0
90486.0,33818.0
90943.0,34275.0
91400.0,34732.0
93228.0,34275.0
93685.0,34732.0
94142.0,34275.0
94599.0,34732.0
94142.0,36103.0
95970.0,36103.0
95513.0,37017.0
94599.0,37017.0
93685.0,37474.0
93685.0,38388.0
94142.0,38845.0
95056.0,38845.0
95970.0,39302.0
96884.0,39759.0
98255.0,40673.0
100540.0,41130.0
106024.0,44329.0
106024.0,45243.0
103739.0,45700.0
104196.0,46614.0
105567.0,46842.5
105567.0,47071.0
106481.0,47528.0
108080.5,47528.0
107852.0,48442.0
108766.0,48899.0
112879.0,45243.0
115621.0,43872.0
113793.0,43415.0
112422.0,44329.0
110137.0,43872.0
108766.0,43415.0
107395.0,42501.0
106481.0,42044.0
105567.0,41587.0
103282.0,39302.0
101911.0,38845.0
100997.0,37017.0
99626.0,36103.0
99626.0,34732.0
98255.0,34275.0
97341.0,32447.0
94599.0,31990.0
93685.0,31076.0
92771.0,31533.0
90029.0,29705.0
88658.0,29476.5
87287.0,30162.0
86373.0,30162.0
85459.0,31076.0
